GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
birch-rest-jaxrs,org.birchframework.framework.actuator.health,HealthWrapper,34,0,4,0,6,0,6,0,4,0
birch-rest-jaxrs,org.birchframework.framework.actuator.health,ServiceDependencyHealthIndicator,83,24,5,1,16,4,7,2,4,2
birch-rest-jaxrs,org.birchframework.framework.actuator.health,ActuatorResourceAutoConfiguration,30,0,2,0,7,0,4,0,3,0
birch-rest-jaxrs,org.birchframework.framework.actuator.health,BaseHealthIndicator,61,0,8,0,14,0,9,0,4,0
birch-rest-jaxrs,org.birchframework.framework.jaxrs,JAXRSErrorResponse,3,15,0,0,1,5,1,5,1,5
birch-rest-jaxrs,org.birchframework.framework.jaxrs,ObjectWrapper,12,0,0,0,3,0,3,0,3,0
birch-rest-jaxrs,org.birchframework.framework.jaxrs,ResponseError,9,0,0,0,4,0,2,0,2,0
birch-rest-jaxrs,org.birchframework.framework.jaxrs,Responses,231,513,80,62,55,116,73,46,8,40
birch-rest-jaxrs,org.birchframework.framework.i18n,SpanningClientInterceptor,0,44,4,4,0,10,4,2,0,2
birch-rest-jaxrs,org.birchframework.framework.i18n,InternationalizationAutoConfiguration,56,0,0,0,14,0,5,0,5,0
birch-rest-jaxrs,org.birchframework.framework.i18n,SpanningContainerRequestFilter,55,98,5,7,12,22,6,5,1,4
birch-rest-jaxrs,org.birchframework.framework.i18n,SpanHeadersContainerBean,59,0,0,0,9,0,13,0,13,0
birch-rest-jaxrs,org.birchframework.framework.i18n,SpanHeadersContainer,98,0,4,0,21,0,17,0,15,0
birch-rest-jaxrs,org.birchframework.resource,UtilsResourceImpl,18,0,0,0,6,0,3,0,3,0
birch-rest-jaxrs,org.birchframework.framework.cxf,ResourceImplContainerRequestFilter,25,0,0,0,4,0,3,0,3,0
birch-rest-jaxrs,org.birchframework.framework.cxf,CustomOpenAPIFeature,71,0,2,0,20,0,4,0,3,0
birch-rest-jaxrs,org.birchframework.framework.cxf,CORSFilter,61,0,4,0,16,0,5,0,3,0
birch-rest-jaxrs,org.birchframework.framework.cxf,JAXRSUtils,94,0,4,0,22,0,7,0,5,0
birch-rest-jaxrs,org.birchframework.framework.cxf,ResourceProxyBeanAutoConfiguration,22,101,3,3,6,19,3,7,0,7
birch-rest-jaxrs,org.birchframework.framework.cxf,ResourceClientRequestFilter,17,11,4,0,4,4,3,2,1,2
